product_url,product_name,brand_name,category,product_type,main_keyword,sub_keywords,price,package_count,unit_price,rocket_type,review_count,rating,image_count,option_count,coupon_or_discount,seller_count,rank_position,estimated_sales_level,title_keywords,image_style,main_selling_points,weak_points,bad_review_points,qna_points,differentiation_opportunity,compliance_risk,return_risk,created_at,updated_at
https://www.coupang.com/vp/products/10001,"여성 심리스 팬티 3매 세트",No Brand,Women's Underwear & Accessories,심리스 팬티,여성 팬티,"심리스 팬티, 노라인 팬티, 데일리 팬티",8900,3,2966.67,Rocket,1280,4.6,7,6,Yes,3,4,High,"여성 팬티, 심리스, 노라인","White background, folded set","seamless, breathable, soft touch, daily wear","size guide weak, colors basic","runs small, fabric too thin","is the hip fit comfortable, does it roll up","clearer size chart, cooler summer colors, 6-pack option",Low,Medium,2026-05-04 10:00:00,2026-05-04 10:00:00
https://www.coupang.com/vp/products/10002,"냉감 아이스 실크 여성 팬티 4매",No Brand,Women's Underwear & Accessories,ice silk panty,심리스 팬티,"여름 심리스 팬티, 아이스 팬티, 여성 속옷",12900,4,3225,Rocket Growth,860,4.5,8,5,Yes,2,7,High,"냉감 팬티, 심리스, 여름 속옷","Model + white background","cooling touch, breathable, quick dry, no line","benefit claims generic, packaging plain","cooling feel weaker than expected, size inconsistent","is it transparent, good for summer sweat","add fabric close-up, realistic cooling claim, neutral skin-tone packs",Medium,Medium,2026-05-04 10:00:00,2026-05-04 10:00:00
https://www.coupang.com/vp/products/10003,"중저가 데일리 중허리 팬티 5매",No Brand,Women's Underwear & Accessories,mid waist panty,여성 팬티,"중허리 팬티, 편한 팬티, 기본 팬티",15900,5,3180,Seller Shipping,430,4.3,6,4,No,4,13,Medium,"여성 팬티, 중허리, 기본 속옷","White background, color lineup","soft waistband, daily basic colors, gentle stretch","images average, title SEO weak","waist band tight, colors slightly different","does it shrink after wash, is beige see-through","upgrade hero image, improve Korean SEO title, emphasize no pressure fit",Low,Medium,2026-05-04 10:00:00,2026-05-04 10:00:00
https://www.coupang.com/vp/products/10004,"여성 안전바지 속바지 2매",No Brand,Women's Underwear & Accessories,안전바지,여성 안전바지,"속바지, 치마 속바지, 여름 속바지",9900,2,4950,Rocket,520,4.4,6,3,No,2,9,Medium,"여성 안전바지, 속바지, 편한 착용감","White background, flat lay","anti-see-through, light stretch, daily skirt use","single color heavy, details not clear","length shorter than expected, rides up","is it too tight under skirts, suitable for summer","add anti-roll visual, show actual coverage, add beige and black bundle",Low,Medium,2026-05-04 10:00:00,2026-05-04 10:00:00
https://www.coupang.com/vp/products/10005,"브라 전용 세탁망 2개입",CleanHome,Women's Underwear & Accessories,브라 세탁망,브라 세탁망,"속옷 세탁망, 브라 변형 방지 세탁망, 세탁 보호망",10900,2,5450,Rocket,310,4.7,7,2,Yes,1,6,Medium,"브라 세탁망, 속옷 세탁망, 변형 방지","White background + infographic","bra shape protection, zipper cover, mesh airflow","bundle value not obvious, dimensions unclear","zipper weak, cup size fit unclear","does large cup bra fit, can it be machine dried","show size compatibility chart, stronger zipper proof, panty + bra care bundle",Low,Low,2026-05-04 10:00:00,2026-05-04 10:00:00
https://www.coupang.com/vp/products/10006,"브라 연장 후크 3색 9개 세트",No Brand,Women's Underwear & Accessories,브라 연장 후크,브라 연장 후크,"브라 후크 연장, 브라 밴드 연장, 속옷 후크 조절",6900,9,766.67,Seller Shipping,740,4.5,5,6,No,5,5,High,"브라 연장 후크, 브라 밴드 연장, 후크 세트","White background, product close-up","comfortable extension, multi-color, easy fit","compatibility explanation weak, pack photo cheap","hook spacing mismatch, metal feels thin","what spacing fits, is it rust resistant","add spacing guide, thicker hardware note, premium zip pouch pack",Low,Low,2026-05-04 10:00:00,2026-05-04 10:00:00
https://www.coupang.com/vp/products/10007,"브라끈 흘러내림 방지 클립 6개",No Brand,Women's Underwear & Accessories,브라끈 클립,브라끈 클립,"브라끈 흘러내림 방지, 어깨끈 고정 클립, 브라끈 정리",5900,6,983.33,Rocket,460,4.2,5,4,No,3,11,Medium,"브라끈 클립, 흘러내림 방지, 어깨끈 고정","White background, usage diagram","anti-slip fix, invisible under clothes, easy to use","usage image too small, material not premium","clip snaps easily, hard to attach alone","visible under thin tops, can it hold thick straps","bigger usage diagram, stronger resin material, skin-tone color pack",Low,Low,2026-05-04 10:00:00,2026-05-04 10:00:00
https://www.coupang.com/vp/products/10008,"노라인 무자국 여성 팬티 6매",SoftDay,Women's Underwear & Accessories,노라인 팬티,노라인 팬티,"심리스 팬티, 안비치는 팬티, 편한 여성 팬티",17900,6,2983.33,Rocket Growth,1650,4.7,9,7,Yes,2,3,High,"노라인 팬티, 심리스 팬티, 무자국 속옷","Model + white background","no line, smooth edge, daily comfort, soft stretch","competitors similar, angle not unique","edge curls after wash, color repeat","does it stay flat in leggings, true to size","add washing guide, stronger edge bonding story, premium color bundle",Low,Medium,2026-05-04 10:00:00,2026-05-04 10:00:00
https://www.coupang.com/vp/products/10009,"속옷 정리 파우치 여행용 4종",TidyCloset,Women's Underwear & Accessories,underwear organizer,속옷 정리함,"속옷 파우치, 여행용 정리백, 브라 수납",14900,4,3725,Seller Shipping,120,4.4,8,4,No,1,18,Low,"속옷 정리, 여행용 파우치, 브라 수납","Scene + lifestyle","travel organization, bra shape care, lightweight pouch","search demand lower, title generic","zipper not smooth, inner partition weak","fits larger bras, washable material","position for travel + storage combo, stronger partition visuals, gift-like packaging",Low,Low,2026-05-04 10:00:00,2026-05-04 10:00:00
https://www.coupang.com/vp/products/10010,"브라 세탁망 + 세탁가이드 세트",CleanHome,Women's Underwear & Accessories,bra laundry bundle,브라 세탁망,"브라 세탁망, 속옷 세탁망, 브라 관리",13900,3,4633.33,Rocket,210,4.6,7,3,Yes,1,12,Medium,"브라 세탁망, 세탁가이드, 세탁 보호","White background, bundle shot","shape care, wash guide, zipper cover, easy giftable set","bundle message not strong, FAQ missing","mesh too soft, guide card too small","is guide useful, okay for daily washer use","expand care guide, thicker mesh, better white hero image",Low,Low,2026-05-04 10:00:00,2026-05-04 10:00:00
